query_description,detailed_formula
"Calculate ANC: WBC 8.0, Neutrophils 60%, Bands 5%","FORMULA: Absolute Neutrophil Count
Given: WBC 8.0 × 10³/µL, Neutrophils 60%, Bands 5%
Step 1: Total neutrophil % = 60% + 5% = 65%
Step 2: ANC = 8.0 × (65/100) = 5.2 × 10³/µL
Interpretation: Normal (1.5-8.0), adequate immune function
RESULT: ANC = 5,200 cells/µL"
"Correct calcium for albumin 3.0 g/dL, measured Ca 8.5 mg/dL","FORMULA: Corrected Calcium
Given: Measured Ca 8.5 mg/dL, Albumin 3.0 g/dL
Formula: Corrected Ca = Measured + 0.8 × (4.0 - Albumin)
Calculation: 8.5 + 0.8 × (4.0 - 3.0) = 8.5 + 0.8 = 9.3 mg/dL
Normal range: 8.5-10.5 mg/dL
RESULT: Corrected Ca = 9.3 mg/dL (normal)"
"Calculate anion gap: Na 140, Cl 105, HCO₃ 22","FORMULA: Anion Gap
Given: Na⁺ 140, Cl⁻ 105, HCO₃⁻ 22 (all mEq/L)
Formula: AG = Na⁺ - (Cl⁻ + HCO₃⁻)
Calculation: 140 - (105 + 22) = 140 - 127 = 13 mEq/L
Normal: 8-12 mEq/L, Elevated suggests metabolic acidosis
RESULT: AG = 13 mEq/L (mildly elevated)"
"CrCl Cockcroft-Gault: Age 65, Weight 70kg, SCr 1.2, Male","FORMULA: Creatinine Clearance
Given: Age 65y, Weight 70kg, SCr 1.2 mg/dL, Male
Formula: CrCl = [(140-Age) × Weight × (0.85 if female)] / (72 × SCr)
Calculation: [(140-65) × 70] / (72 × 1.2) = 5250 / 86.4 = 60.8 mL/min
Normal: >90, Stage 2 CKD: 60-89
RESULT: CrCl = 61 mL/min (mildly decreased)"
"Calculate MCV: Hct 42%, RBC 4.8 million/µL","FORMULA: Mean Corpuscular Volume
Given: Hematocrit 42%, RBC 4.8 × 10⁶/µL
Formula: MCV = (Hct% × 10) / RBC millions
Calculation: (42 × 10) / 4.8 = 420 / 4.8 = 87.5 fL
Normal: 80-100 fL (normocytic)
RESULT: MCV = 87.5 fL (normal)"
"Calculate MCH: Hgb 14.2 g/dL, RBC 4.8 million/µL","FORMULA: Mean Corpuscular Hemoglobin
Given: Hemoglobin 14.2 g/dL, RBC 4.8 × 10⁶/µL
Formula: MCH = (Hgb × 10) / RBC millions
Calculation: (14.2 × 10) / 4.8 = 142 / 4.8 = 29.6 pg
Normal: 27-33 pg (normochromic)
RESULT: MCH = 29.6 pg (normal)"
"Calculate MCHC: Hgb 14.2, Hct 42%","FORMULA: Mean Corpuscular Hgb Concentration
Given: Hemoglobin 14.2 g/dL, Hematocrit 42%
Formula: MCHC = (Hgb × 100) / Hct%
Calculation: (14.2 × 100) / 42 = 1420 / 42 = 33.8 g/dL
Normal: 32-36 g/dL
RESULT: MCHC = 33.8 g/dL (normal)"
"eGFR MDRD: SCr 1.5, Age 70, Black Male","FORMULA: Estimated GFR (MDRD)
Given: SCr 1.5 mg/dL, Age 70y, Black Male
Formula: eGFR = 175 × (SCr)^-1.154 × (Age)^-0.203 × (1.212 if Black)
Step 1: 175 × (1.5)^-1.154 = 175 × 0.647 = 113.2
Step 2: 113.2 × (70)^-0.203 = 113.2 × 0.401 = 45.4
Step 3: 45.4 × 1.212 = 55.0 mL/min/1.73m²
Stage 3A CKD (45-59)
RESULT: eGFR = 55 mL/min/1.73m²"
"LDL Friedewald: Total 220, HDL 45, TG 150","FORMULA: LDL Cholesterol (Friedewald)
Given: Total Chol 220, HDL 45, Triglycerides 150 mg/dL
Condition: TG <400 mg/dL ✓
Formula: LDL = Total - HDL - (TG/5)
Calculation: 220 - 45 - (150/5) = 220 - 45 - 30 = 145 mg/dL
Optimal <100, High ≥160
RESULT: LDL = 145 mg/dL (borderline high)"
"Calculate base excess: pH 7.30, HCO₃ 18, Hgb 12","FORMULA: Base Excess
Given: pH 7.30, HCO₃⁻ 18 mEq/L, Hgb 12 g/dL
Formula: BE = (HCO₃ - 24.4) + (2.3×Hgb + 7.7) × (pH - 7.4)
Step 1: (18 - 24.4) = -6.4
Step 2: (2.3×12 + 7.7) = 35.3
Step 3: -6.4 + 35.3 × (7.30 - 7.40) = -6.4 + 35.3 × (-0.10) = -6.4 - 3.5 = -9.9
RESULT: BE = -10 mEq/L (metabolic acidosis)"
