Timestamp,Expression,R² Score,Complexity,Validation Score,Valid,Interpretation,Provider,Domain
2025-12-14T12:10:08.925821,x1*x2*sqrt(x3),0.996360284258334,6,93.1,True,This expression calculates a scaled product metric where two factors are multiplied and then adjuste,anthropic,defi
2025-12-14T12:10:34.562074,0.7267755*log(log((x1/x2 + 1.1970667)**1.2387862)),0.9875759209208084,11,84.7,False,,,defi
2025-12-14T12:10:58.150991,-4.3642616*x1 + (3.729515*x1 + 15.194069)*sqrt(x2/x3 + 1.2678049) - 28.421688 - 120.72686/x3,0.9968853436658224,24,82.6,False,,,defi
2025-12-14T12:11:36.526460,(x1 + x2 - (x1 + x2 - x2/x3)/x3)/x3,0.9974078392138166,15,93.1,True,This expression calculates a weighted adjustment factor that applies progressive scaling to combined,anthropic,defi
2025-12-14T12:12:15.397498,x1*log(x2 + 1.080171),0.9984358374741928,6,88.9,True,This expression calculates a logarithmically scaled financial metric where a numerator term is weigh,anthropic,defi
2025-12-14T12:12:54.399822,x1*x2*sqrt(x3),0.9956628016839838,6,93.1,True,This formula calculates a composite metric that combines two multiplicative factors with a square-ro,anthropic,defi
2025-12-14T12:13:18.078325,-x1 - x2 + 2.16464 + sqrt(x2*x3)*(2.16464*x1 + x2)/x3 + 1.0651472*(-x1 - 29.943504)/x3,0.979182840946363,26,81.1,False,,,defi
2025-12-14T12:13:54.977039,x1*log(x2 + 1.0346043),0.9998793035475148,6,88.9,True,"This expression calculates a logarithmic scaling factor applied to a numerator term, where the scali",anthropic,defi
2025-12-14T12:14:31.184739,x1*x2*sqrt(x3),0.9990864991463054,6,93.1,True,This formula calculates a composite financial metric by multiplying two factors and taking the squar,anthropic,defi
2025-12-14T12:14:57.612316,sqrt((2.7555652*x1*(x2/x3 + 1.446501) + 2.7555652*x2 + 2.7555652*x2/x3 - 0.336083997623208)/x3) - 0.91178465,0.9945106258299208,24,81.8,False,,,defi
2025-12-14T12:15:28.718922,log(-0.086795800806774*x1/x2 + sqrt(x1/x2) + 0.085744733867412 + 0.262423964540733/x1),0.9837643811721376,19,72.8,False,,,defi
2025-12-14T12:16:18.807181,(x1/x2 + 0.9992603)/((x3 + 1.0887486)/x2)**1.006424,0.9967317406992212,13,92.5,True,This formula calculates a risk-adjusted return ratio where a normalized factor ratio is divided by a,anthropic,defi
2025-12-14T12:16:56.375873,0.028500209*x1 + 0.027675798*x2 - 3.349647 + (50.639053 - log(x3**(-18.835085)))/x3,0.9881711982925844,18,84.1,False,,,defi
2025-12-14T12:17:41.180191,sqrt(((x + 0.930595)/x)**(-2.1042037)) - 0.0010186813,0.9976450286048254,10,92.2,True,This expression calculates a scaled probability or risk metric that exhibits power-law decay behavio,anthropic,defi
2025-12-14T12:18:14.009764,x1*2.149026/(x1 + x2)**1.0173104 - 0.9939338,0.9949884817684752,11,63.400000000000006,False,,,defi
2025-12-14T12:18:54.769408,(x1 - 4.7256937)*sqrt((x2*sqrt(sqrt((0.7914548**x3)**(1/4)/x3)/x3))**1.514879),0.9987825033282294,20,78.7,False,,,defi
2025-12-14T12:19:21.804949,-0.070831514459277*sqrt(x2) + 1.5920203*sqrt(exp(-2.0012467*log(x2)*log(x1*x2)/x1)) - 0.329312758217833,0.9937740078990556,22,70.1,False,,,defi
2025-12-14T12:20:04.208710,exp(1.5099124 - 1.578214*(x2 + x3 - 1*(-0.09462639))/x1) + 0.21733865,0.9333223597977988,14,86.8,True,This expression calculates a risk-adjusted yield or pricing metric that exponentially decays based o,anthropic,defi
2025-12-14T12:20:46.595934,((x + 0.8831457)/x)**(-1.111689),0.9929743516785732,7,97.0,True,This expression calculates a power-law scaling factor that decreases as the input variable x increas,anthropic,defi
2025-12-14T12:21:12.243757,2.14497785536355*sqrt(1/x) - 1.1494796/x,0.9885839149632872,8,76.7,False,,,defi
