query_description,formula
Calculate perfume concentration percentage,Concentration % = (Fragrance Oil Weight / Total Formula Weight) × 100
Determine eau de parfum dilution ratio,EDP = 15-20% fragrance + 75-80% alcohol + 5% water
Calculate eau de toilette strength,EDT = 5-15% fragrance oil in alcohol base
Compute cologne concentration,Cologne = 2-5% fragrance in 70-90% alcohol
Find parfum extrait percentage,Parfum = 20-40% fragrance concentration
Calculate alcohol volume for dilution,Alcohol mL = Total Volume × (Alcohol % / 100)
Determine fragrance oil needed for 100ml EDP,Fragrance Oil = 100ml × 0.18 = 18ml
Calculate water content in perfume,Water mL = Total Volume - (Alcohol + Fragrance)
Find total perfume weight from volumes,Total Weight = (Volume₁ × Density₁) + (Volume₂ × Density₂) + ...
Calculate cost per ml of perfume,Cost/mL = Total Ingredient Cost / Final Volume
Calculate top note percentage in formula,Top Notes % = (Top Note Weight / Total Fragrance Weight) × 100
Determine citrus oil ratio for freshness,Citrus Ratio = Bergamot:Lemon:Orange = 3:2:1
Calculate bergamot evaporation rate compensation,Bergamot Adjusted = Base Amount × (1 + Evaporation Rate)
Find optimal lemon oil concentration,Lemon Oil = 5-15% of total fragrance oil
Calculate grapefruit blend ratio,Grapefruit = 10-25% of top note accord
Determine mandarin oil proportion,Mandarin = 8-20% of citrus blend
Calculate neroli concentration for elegance,Neroli = 2-8% of total fragrance
Find petitgrain balance with citrus,Petitgrain = 3-12% of top notes
Calculate mint freshness factor,Mint Oil = 1-5% for fresh effect
Determine lavender top note amount,Lavender = 5-15% in fougère compositions
Calculate heart note percentage,Heart Notes % = (Middle Note Weight / Total Fragrance) × 100
Determine rose absolute concentration,Rose Absolute = 2-10% of fragrance oil
Calculate jasmine dilution ratio,Jasmine = 3-15% in floral formulas
Find ylang-ylang optimal level,Ylang-Ylang = 2-8% of total fragrance
Calculate geranium balance,Geranium = 5-20% in rose accords
Determine iris butter percentage,Iris = 1-5% for powdery effect
Calculate tuberose intensity,Tuberose = 2-10% for white floral
Find orange blossom concentration,Orange Blossom = 5-15% in florals
Calculate carnation spice level,Carnation = 2-8% for spicy florals
Determine lily of valley accord,Lily = 10-25% of heart notes
Calculate base note percentage,Base Notes % = (Base Weight / Total Fragrance) × 100
Determine sandalwood concentration,Sandalwood = 10-30% of base notes
Calculate patchouli earthiness level,Patchouli = 5-20% for oriental blends
Find vetiver grounding proportion,Vetiver = 8-25% in woody bases
Calculate cedarwood ratio,Cedarwood = 10-30% of woody accord
Determine amber fixative amount,Amber = 5-15% for warmth
Calculate vanilla sweetness level,Vanilla = 3-15% in gourmand bases
Find tonka bean proportion,Tonka Bean = 2-10% for coumarin notes
Calculate musk fixative concentration,Musk = 5-20% for longevity
Determine oakmoss classic chypre ratio,Oakmoss = 2-8% (IFRA compliant)
Calculate floral accord balance,Floral Accord = Rose:Jasmine:Ylang = 40:40:20
Determine citrus accord composition,Citrus = Bergamot:Lemon:Orange:Grapefruit = 40:25:20:15
Calculate woody accord ratio,Woody = Sandalwood:Cedar:Vetiver = 50:30:20
Find oriental accord balance,Oriental = Vanilla:Amber:Patchouli:Spices = 30:30:25:15
Calculate fougère accord structure,Fougère = Lavender:Coumarin:Oakmoss = 50:30:20
Determine chypre accord formula,Chypre = Bergamot:Rose:Oakmoss:Patchouli = 25:25:25:25
Calculate aquatic accord freshness,Aquatic = Calone:Citrus:Marine Notes = 30:40:30
Find gourmand accord sweetness,Gourmand = Vanilla:Caramel:Tonka:Fruits = 40:20:20:20
Calculate green accord composition,Green = Galbanum:Violet Leaf:Cut Grass = 40:35:25
Determine leather accord intensity,Leather = Birch Tar:Castoreum:Labdanum = 45:30:25
Calculate total fixative percentage,Fixatives = 10-25% of total fragrance base
Determine benzoin resin amount,Benzoin = 3-10% as fixative
Calculate labdanum stickiness factor,Labdanum = 5-15% for longevity
Find ambergris synthetic ratio,Ambroxan = 2-8% for diffusion
Calculate ISO E Super background,ISO E Super = 10-40% for radiance
Determine Galaxolide musk level,Galaxolide = 5-15% for softness
Calculate myrrh resinous depth,Myrrh = 2-8% in base
Find frankincense sacred ratio,Frankincense = 3-10% for spirituality
Calculate coumarin sweet warmth,Coumarin = 5-15% in fougères
Determine styrax balsamic level,Styrax = 2-8% for depth
Calculate ethanol purity for perfume,"Ethanol = 95-96% purity, denatured"
Determine dipropylene glycol (DPG) amount,DPG = 5-20% for oil solubilization
Calculate isopropyl myristate carrier,IPM = 2-10% for skin feel
Find benzyl benzoate solvent ratio,Benzyl Benzoate = 5-15% for solubilization
Calculate triethyl citrate amount,Triethyl Citrate = 3-10% as solvent
Determine propylene glycol level,Propylene Glycol = 5-15% in water-based
Calculate glycerin moisture content,Glycerin = 2-8% for hydration
Find ethyl alcohol concentration,Ethyl Alcohol = 70-90% in final formula
Calculate distilled water purification,Distilled Water = 5-10% in formula
Determine jojoba oil carrier amount,Jojoba = 10-30% in oil-based perfumes
Calculate oud oil luxury concentration,Oud = 0.5-5% for intense woody
Determine saffron spice level,Saffron = 0.1-1% for exotic touch
