query_description,formula
Calculate absolute neutrophil count (ANC),ANC = WBC × (% Neutrophils + % Bands) / 100
Determine corrected calcium for albumin,Corrected Ca = Measured Ca + 0.8 × (4.0 - Albumin g/dL)
Calculate anion gap,Anion Gap = Na⁺ - (Cl⁻ + HCO₃⁻)
Find creatinine clearance (Cockcroft-Gault),CrCl = [(140 - Age) × Weight kg × (0.85 if female)] / (72 × SCr mg/dL)
Calculate body mass index (BMI),BMI = Weight kg / (Height m)²
Determine mean corpuscular volume (MCV),MCV fL = (Hematocrit % × 10) / RBC count (millions/μL)
Calculate mean corpuscular hemoglobin (MCH),MCH pg = (Hemoglobin g/dL × 10) / RBC count (millions/μL)
Find MCHC concentration,MCHC g/dL = (Hemoglobin g/dL × 100) / Hematocrit %
Calculate reticulocyte production index,RPI = (Reticulocyte % × Patient Hct) / (Normal Hct × Maturation Factor)
Determine absolute reticulocyte count,Absolute Retic = Reticulocyte % × RBC count / 100
Calculate estimated GFR (MDRD),eGFR = 175 × (SCr)⁻¹·¹⁵⁴ × (Age)⁻⁰·²⁰³ × (0.742 if female) × (1.212 if Black)
Determine BUN to creatinine ratio,BUN/Cr Ratio = BUN mg/dL / Creatinine mg/dL
Calculate fractional excretion of sodium,FENa % = [(UNa × PCr) / (PNa × UCr)] × 100
Find urine protein to creatinine ratio,UPCR = Urine Protein mg/dL / Urine Creatinine mg/dL
Calculate albumin to creatinine ratio,ACR mg/g = (Urine Albumin mg/L / Urine Creatinine mg/L) × 1000
Determine protein excretion rate,24h Protein = Urine Protein mg/dL × 24h Volume L × 10
Calculate osmolal gap (serum),Osm Gap = Measured Osm - Calculated Osm (2×Na + Glucose/18 + BUN/2.8)
Find urine osmolal gap,Urine Osm Gap = Measured - 2×(Na + K) - Urea/2.8 - Glucose/18
Calculate transtubular potassium gradient,TTKG = (Urine K / Plasma K) / (Urine Osm / Plasma Osm)
Determine creatinine production rate,Cr Production = UCr × 24h Volume / (1440 × Weight kg)
Calculate Child-Pugh score,Child-Pugh = Points(Bilirubin + Albumin + INR + Ascites + Encephalopathy)
Determine MELD score,MELD = 3.78×ln(Bili) + 11.2×ln(INR) + 9.57×ln(Cr) + 6.43
Calculate AST to ALT ratio,AST/ALT Ratio = AST IU/L / ALT IU/L
Find alkaline phosphatase to bilirubin ratio,ALP/Bili = ALP IU/L / Total Bili mg/dL
Calculate APRI score (fibrosis),APRI = [(AST/ULN) / Platelet count (10⁹/L)] × 100
Determine FIB-4 index,FIB-4 = (Age × AST) / (Platelet count × √ALT)
Calculate direct to total bilirubin ratio,Direct/Total Bili = Direct Bili / Total Bili
Find albumin to globulin ratio,A/G Ratio = Albumin g/dL / (Total Protein - Albumin)
Calculate prothrombin time ratio,PT Ratio = Patient PT / Control PT
Determine INR value,INR = (Patient PT / Mean Normal PT)^ISI
Calculate LDL cholesterol (Friedewald),LDL = Total Chol - HDL - (Triglycerides / 5) [if TG < 400]
Determine non-HDL cholesterol,Non-HDL = Total Cholesterol - HDL
Calculate VLDL cholesterol estimate,VLDL = Triglycerides / 5
Find cholesterol to HDL ratio,Total Chol/HDL = Total Cholesterol / HDL
Calculate LDL to HDL ratio,LDL/HDL = LDL Cholesterol / HDL Cholesterol
Determine atherogenic index,Atherogenic Index = log(TG / HDL)
Calculate Castelli risk index I,Castelli I = Total Cholesterol / HDL
Find Castelli risk index II,Castelli II = LDL / HDL
Calculate coronary risk ratio,Coronary Risk = Total Chol / HDL
Determine apoB to apoA1 ratio,ApoB/ApoA1 = Apolipoprotein B / Apolipoprotein A1
Calculate base excess,Base Excess = (HCO₃⁻ - 24.4) + (2.3 × Hgb + 7.7) × (pH - 7.4)
Determine expected PCO₂ in metabolic acidosis,Expected PCO₂ = 1.5 × HCO₃⁻ + 8 (±2)
Calculate expected HCO₃⁻ in respiratory disorder,Acute: ΔHCO₃⁻ = ΔPCo₂ × 0.1; Chronic: ΔHCO₃⁻ = ΔPCO₂ × 0.4
Find delta ratio (gap-gap),Delta Ratio = (Anion Gap - 12) / (24 - HCO₃⁻)
Calculate osmolar gap,Osm Gap = Measured Osm - (2×Na + Glucose/18 + BUN/2.8 + Ethanol/4.6)
Determine Henderson-Hasselbalch pH,pH = 6.1 + log(HCO₃⁻ / (0.03 × PCO₂))
Calculate alveolar-arterial gradient,A-a Gradient = [(FiO₂ × (Patm - 47) - PaCO₂/0.8] - PaO₂
Find oxygen content arterial,CaO₂ = (1.34 × Hgb × SaO₂) + (0.003 × PaO₂)
Calculate PaO₂/FiO₂ ratio,P/F Ratio = PaO₂ mmHg / FiO₂ (decimal)
Determine oxygen saturation gap,O₂ Sat Gap = Calculated SaO₂ - Measured SpO₂
Calculate estimated average glucose from HbA1c,eAG mg/dL = (28.7 × HbA1c %) - 46.7
Determine HOMA-IR insulin resistance,HOMA-IR = (Fasting Insulin μU/mL × Fasting Glucose mg/dL) / 405
Calculate HOMA-B beta cell function,HOMA-B = (360 × Fasting Insulin) / (Fasting Glucose - 63)
Find glucose management indicator,GMI % = 3.31 + 0.02392 × Mean Glucose mg/dL
Calculate insulin to carb ratio,I:C Ratio = 500 / Total Daily Insulin
Determine correction factor (insulin sensitivity),Correction Factor = 1800 / Total Daily Insulin
Calculate glycemic variability (CV),CV % = (SD of Glucose / Mean Glucose) × 100
Find time in range percentage,TIR % = (Readings 70-180 mg/dL / Total Readings) × 100
Calculate glucose area under curve,AUC = Σ[(Glucose₁ + Glucose₂)/2 × Time Interval]
Determine fructosamine-estimated A1c,Est A1c = (Fructosamine μmol/L - 158) / 21.3
Calculate free thyroxine index (FTI),FTI = Total T4 × T3 Uptake / 100
Determine thyroid hormone ratio,T3/T4 Ratio = Total T3 / Total T4
Calculate thyrotropin index,TSHI = log(TSH) + 0.1345 × FT4
Find thyroid secretion rate,TSR = FT4 × 0.138 × Weight kg
Calculate T3 resin uptake ratio,T3RU Ratio = Patient T3RU / Mean Normal T3RU
Determine total T3 from free T3,Total T3 ≈ Free T3 × 154
Calculate reverse T3 ratio,rT3 Ratio = Reverse T3 / Total T3
