query_description,detailed_formula
"Calculate alcohol and water for EDP with 18% fragrance, 2% fixatives","FORMULA: Alcohol-Water Ratio
Given: Fragrance 18%, Fixatives 2%, Type: EDP
Step 1: Remaining = 100% - 18% - 2% = 80%
Step 2: Alcohol = 80% × 0.82 = 65.6%
Step 3: Water = 80% - 65.6% = 14.4%
RESULT: Fragrance 18%, Alcohol 65.6%, Water 14.4%, Fixatives 2%"
"Calculate 500ml batch: 15% fragrance, 70% alcohol, 13% water, 2% fixatives","FORMULA: Batch Quantities
Given: 500 mL total
Volumes: Fragrance 75mL, Alcohol 350mL, Water 65mL, Fix 10mL
Masses (g): Fragrance 67.5g (×0.9), Alcohol 276.2g (×0.789), Water 65g, Glycerin 12.6g (×1.26)
RESULT: Total 421.3g for 500mL batch"
"Validate pyramid: Top 25%, Middle 45%, Base 30%","FORMULA: Note Balance Check
Ranges: Top 15-30%, Middle 40-60%, Base 20-35%
✓ Top 25% within range
✓ Middle 45% within range
✓ Base 30% within range
✓ Total = 100%
RESULT: BALANCED, Score 95/100"
Dilute 100ml of 20% EDP to 15% EDT,"FORMULA: Dilution C₁V₁=C₂V₂
Given: 20% in 100mL → target 15%
Step 1: V₂ = (20×100)/15 = 133.33mL
Step 2: Add 33.33mL diluent
Step 3: Split 80/20: Alcohol 26.67mL, Water 6.67mL
RESULT: Final 133.33mL at 15%"
"Production cost per 100ml: oil $3.50, bottle $2.50, alcohol $15/L, water $0.50/L","FORMULA: Cost Analysis
Components: Oil $3.50, Alcohol 70mL=$1.05, Water 10mL=$0.01, Glycerin $0.03, Bottle $2.50
Total: $7.09/100mL
With 5× markup: Retail $35.45, Profit $28.36 (80% margin)
RESULT: Production $7.09, Retail $35.45"
"Scale 250ml to 1000ml: 25% frag, 67.5% alcohol, 6% water, 1.5% fix","FORMULA: Batch Scaling 4×
Original 250mL: Frag 62.5mL, Alc 168.75mL, Water 15mL, Fix 3.75mL
Scaled 1000mL: Frag 250mL, Alc 675mL, Water 60mL, Fix 15mL
RESULT: Multiply all by 4.0×, ratios maintained"
"IFRA check: Bergamot 10% in compound, 18% EDP, limit 0.4%","FORMULA: IFRA Compliance
Actual in product: 10% × 18% = 1.8%
IFRA limit: 0.4%
✗ EXCEEDS by 1.4%
Correction: Reduce bergamot to 2.22% of compound
RESULT: NOT COMPLIANT, adjust to 2.22%"
Maturation for EDP with 65% naturals,"FORMULA: Maceration Time
Base EDP: 21 days
Natural adjustment: 1 + (65-50)/100 = 1.15×
Adjusted: 21 × 1.15 = 24 days minimum
RESULT: Min 24d, Recommended 31d, Optimal 48d"
EDT concentration specifications,"FORMULA: EDT Classification
Range: 5-15% fragrance
Typical: 10%
Longevity: 3-4 hours
Comparison: Parfum 20-30%, EDP 15-20%, EDT 5-15%, EDC 2-5%
RESULT: EDT = 5-15% concentration"
Convert $7.09 per 100ml to per ounce,"FORMULA: Unit Conversion
Cost per mL: $7.09/100 = $0.0709/mL
Cost per oz: $0.0709 × 29.5735mL = $2.10/oz
Alternative: 100mL = 3.38oz, $7.09/3.38 = $2.10/oz
RESULT: $2.10 per fluid ounce"
