description,analytical_formula,category
Calculate Value at Risk at 95% confidence level,VaR_95 = μ - 1.96 * σ * √t,Value at Risk
Calculate VaR at 90% confidence level,VaR_90 = μ - 1.28 * σ * √t,Value at Risk
VaR 90% for 1-day horizon,VaR_90(1d) = μ - 1.28 * σ * √1,Value at Risk
VaR 90% for 10-day horizon,VaR_90(10d) = μ - 1.28 * σ * √10,Value at Risk
VaR 90% for 30-day horizon,VaR_90(30d) = μ - 1.28 * σ * √30,Value at Risk
VaR 90% for 252-day horizon,VaR_90(252d) = μ - 1.28 * σ * √252,Value at Risk
"Dollar VaR at 90% for $100,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 1.28 * σ * √t),Value at Risk
"Dollar VaR at 90% for $1,000,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 1.28 * σ * √t),Value at Risk
"Dollar VaR at 90% for $10,000,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 1.28 * σ * √t),Value at Risk
Calculate VaR at 95% confidence level,VaR_95 = μ - 1.645 * σ * √t,Value at Risk
VaR 95% for 1-day horizon,VaR_95(1d) = μ - 1.645 * σ * √1,Value at Risk
VaR 95% for 10-day horizon,VaR_95(10d) = μ - 1.645 * σ * √10,Value at Risk
VaR 95% for 30-day horizon,VaR_95(30d) = μ - 1.645 * σ * √30,Value at Risk
VaR 95% for 252-day horizon,VaR_95(252d) = μ - 1.645 * σ * √252,Value at Risk
"Dollar VaR at 95% for $100,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 1.645 * σ * √t),Value at Risk
"Dollar VaR at 95% for $1,000,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 1.645 * σ * √t),Value at Risk
"Dollar VaR at 95% for $10,000,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 1.645 * σ * √t),Value at Risk
Calculate VaR at 99% confidence level,VaR_99 = μ - 2.33 * σ * √t,Value at Risk
VaR 99% for 1-day horizon,VaR_99(1d) = μ - 2.33 * σ * √1,Value at Risk
VaR 99% for 10-day horizon,VaR_99(10d) = μ - 2.33 * σ * √10,Value at Risk
VaR 99% for 30-day horizon,VaR_99(30d) = μ - 2.33 * σ * √30,Value at Risk
VaR 99% for 252-day horizon,VaR_99(252d) = μ - 2.33 * σ * √252,Value at Risk
"Dollar VaR at 99% for $100,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 2.33 * σ * √t),Value at Risk
"Dollar VaR at 99% for $1,000,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 2.33 * σ * √t),Value at Risk
"Dollar VaR at 99% for $10,000,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 2.33 * σ * √t),Value at Risk
Calculate VaR at 99.9% confidence level,VaR_99.9 = μ - 3.09 * σ * √t,Value at Risk
VaR 99.9% for 1-day horizon,VaR_99.9(1d) = μ - 3.09 * σ * √1,Value at Risk
VaR 99.9% for 10-day horizon,VaR_99.9(10d) = μ - 3.09 * σ * √10,Value at Risk
VaR 99.9% for 30-day horizon,VaR_99.9(30d) = μ - 3.09 * σ * √30,Value at Risk
VaR 99.9% for 252-day horizon,VaR_99.9(252d) = μ - 3.09 * σ * √252,Value at Risk
"Dollar VaR at 99.9% for $100,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 3.09 * σ * √t),Value at Risk
"Dollar VaR at 99.9% for $1,000,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 3.09 * σ * √t),Value at Risk
"Dollar VaR at 99.9% for $10,000,000 portfolio",Dollar_VaR = Portfolio_Value * (μ - 3.09 * σ * √t),Value at Risk
Historical VaR using percentile method,"VaR_historical = percentile(returns, 5)",Value at Risk
Cornish-Fisher VaR adjusting for skewness and kurtosis,VaR_CF = μ - (z + (z²-1)/6 * skew + (z³-3z)/24 * kurt) * σ * √t,Value at Risk
Calculate Conditional VaR (Expected Shortfall) at 95%,CVaR_95 = μ - φ(z_95)/(1-0.95) * σ * √t,Conditional VaR
CVaR at 90% confidence level,CVaR_90 = μ - 2.5 * σ * √t,Conditional VaR
Expected Shortfall at 90% for 1-day horizon,ES_90(1d) = μ - 2.5 * σ * √1,Conditional VaR
Expected Shortfall at 90% for 10-day horizon,ES_90(10d) = μ - 2.5 * σ * √10,Conditional VaR
Expected Shortfall at 90% for 30-day horizon,ES_90(30d) = μ - 2.5 * σ * √30,Conditional VaR
Expected Shortfall at 90% for 252-day horizon,ES_90(252d) = μ - 2.5 * σ * √252,Conditional VaR
CVaR at 95% confidence level,CVaR_95 = μ - 2.063 * σ * √t,Conditional VaR
Expected Shortfall at 95% for 1-day horizon,ES_95(1d) = μ - 2.063 * σ * √1,Conditional VaR
Expected Shortfall at 95% for 10-day horizon,ES_95(10d) = μ - 2.063 * σ * √10,Conditional VaR
Expected Shortfall at 95% for 30-day horizon,ES_95(30d) = μ - 2.063 * σ * √30,Conditional VaR
Expected Shortfall at 95% for 252-day horizon,ES_95(252d) = μ - 2.063 * σ * √252,Conditional VaR
CVaR at 99% confidence level,CVaR_99 = μ - 1.755 * σ * √t,Conditional VaR
Expected Shortfall at 99% for 1-day horizon,ES_99(1d) = μ - 1.755 * σ * √1,Conditional VaR
Expected Shortfall at 99% for 10-day horizon,ES_99(10d) = μ - 1.755 * σ * √10,Conditional VaR
Expected Shortfall at 99% for 30-day horizon,ES_99(30d) = μ - 1.755 * σ * √30,Conditional VaR
Expected Shortfall at 99% for 252-day horizon,ES_99(252d) = μ - 1.755 * σ * √252,Conditional VaR
CVaR at 99.9% confidence level,CVaR_99.9 = μ - 1.505 * σ * √t,Conditional VaR
Expected Shortfall at 99.9% for 1-day horizon,ES_99.9(1d) = μ - 1.505 * σ * √1,Conditional VaR
Expected Shortfall at 99.9% for 10-day horizon,ES_99.9(10d) = μ - 1.505 * σ * √10,Conditional VaR
Expected Shortfall at 99.9% for 30-day horizon,ES_99.9(30d) = μ - 1.505 * σ * √30,Conditional VaR
Expected Shortfall at 99.9% for 252-day horizon,ES_99.9(252d) = μ - 1.505 * σ * √252,Conditional VaR
Historical CVaR as average of tail losses,CVaR_historical = mean(returns[returns <= VaR_historical]),Conditional VaR
Stressed CVaR using historical stress scenarios,Stressed_CVaR = mean(losses during stress periods),Conditional VaR
Calculate Sharpe Ratio for portfolio performance,Sharpe = (R_p - R_f) / σ_p,Sharpe Ratio
Sharpe Ratio with 1.0% risk-free rate,Sharpe = (R_p - 0.01) / σ_p,Sharpe Ratio
Annualized Sharpe Ratio (daily data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Annualized Sharpe Ratio (monthly data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Annualized Sharpe Ratio (annual data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Sharpe Ratio with 2.0% risk-free rate,Sharpe = (R_p - 0.02) / σ_p,Sharpe Ratio
Annualized Sharpe Ratio (daily data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Annualized Sharpe Ratio (monthly data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Annualized Sharpe Ratio (annual data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Sharpe Ratio with 3.0% risk-free rate,Sharpe = (R_p - 0.03) / σ_p,Sharpe Ratio
Annualized Sharpe Ratio (daily data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Annualized Sharpe Ratio (monthly data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Annualized Sharpe Ratio (annual data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Sharpe Ratio with 5.0% risk-free rate,Sharpe = (R_p - 0.05) / σ_p,Sharpe Ratio
Annualized Sharpe Ratio (daily data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Annualized Sharpe Ratio (monthly data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Annualized Sharpe Ratio (annual data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Sharpe Ratio with 10.0% risk-free rate,Sharpe = (R_p - 0.1) / σ_p,Sharpe Ratio
Annualized Sharpe Ratio (daily data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Annualized Sharpe Ratio (monthly data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Annualized Sharpe Ratio (annual data),Sharpe_annual = Sharpe * √(periods_per_year),Sharpe Ratio
Risk-adjusted Sharpe Ratio with transaction costs,Sharpe_adj = (R_p - TC - R_f) / σ_p,Sharpe Ratio
Excess Sharpe Ratio relative to benchmark,Sharpe_excess = (R_p - R_bench) / σ(R_p - R_bench),Sharpe Ratio
Calculate Sortino Ratio focusing on downside risk,Sortino = (R_p - R_target) / σ_downside,Sortino Ratio
Sortino Ratio with 0.0% target return,Sortino = (R_p - 0.0) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (daily data, 0.0% target)",Sortino_annual = (R_p - 0.0) * √(periods/year) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (monthly data, 0.0% target)",Sortino_annual = (R_p - 0.0) * √(periods/year) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (annual data, 0.0% target)",Sortino_annual = (R_p - 0.0) * √(periods/year) / σ_downside,Sortino Ratio
Sortino Ratio with 2.0% target return,Sortino = (R_p - 0.02) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (daily data, 2.0% target)",Sortino_annual = (R_p - 0.02) * √(periods/year) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (monthly data, 2.0% target)",Sortino_annual = (R_p - 0.02) * √(periods/year) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (annual data, 2.0% target)",Sortino_annual = (R_p - 0.02) * √(periods/year) / σ_downside,Sortino Ratio
Sortino Ratio with 5.0% target return,Sortino = (R_p - 0.05) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (daily data, 5.0% target)",Sortino_annual = (R_p - 0.05) * √(periods/year) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (monthly data, 5.0% target)",Sortino_annual = (R_p - 0.05) * √(periods/year) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (annual data, 5.0% target)",Sortino_annual = (R_p - 0.05) * √(periods/year) / σ_downside,Sortino Ratio
Sortino Ratio with 10.0% target return,Sortino = (R_p - 0.1) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (daily data, 10.0% target)",Sortino_annual = (R_p - 0.1) * √(periods/year) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (monthly data, 10.0% target)",Sortino_annual = (R_p - 0.1) * √(periods/year) / σ_downside,Sortino Ratio
"Annualized Sortino Ratio (annual data, 10.0% target)",Sortino_annual = (R_p - 0.1) * √(periods/year) / σ_downside,Sortino Ratio
Downside deviation calculation,"σ_downside = √[Σ(min(R_i - R_target, 0))² / n]",Sortino Ratio
Calculate Beta - systematic risk relative to market,"β = Cov(R_asset, R_market) / Var(R_market)",Beta
Beta estimation using 1-year historical data,"β_1-year = Cov(R_asset, R_market) / Var(R_market)",Beta
Beta estimation using 3-year historical data,"β_3-year = Cov(R_asset, R_market) / Var(R_market)",Beta
Beta estimation using 5-year historical data,"β_5-year = Cov(R_asset, R_market) / Var(R_market)",Beta
Unlevered (asset) Beta,β_unlevered = β_levered / (1 + (1-Tc) * D/E),Beta
Levered (equity) Beta with debt,β_levered = β_unlevered * (1 + (1-Tc) * D/E),Beta
Multi-factor Beta including market premium,β_multi = α + β_market*F_market + β_market*F_market,Beta
Multi-factor Beta including size premium,β_multi = α + β_market*F_market + β_size*F_size,Beta
Multi-factor Beta including value premium,β_multi = α + β_market*F_market + β_value*F_value,Beta
Multi-factor Beta including momentum premium,β_multi = α + β_market*F_market + β_momentum*F_momentum,Beta
Rolling Beta estimation,"β_rolling(t) = Cov(R_asset[t-252:t], R_market[t-252:t]) / Var(R_market[t-252:t])",Beta
Calculate Maximum Drawdown as peak-to-trough decline,MDD = (Trough - Peak) / Peak,Maximum Drawdown
Maximum Drawdown over 10-day period,MDD_10d = min(Portfolio_Value[t:t+10]) / max(Portfolio_Value[t:t+10]),Maximum Drawdown
Maximum Drawdown over 20-day period,MDD_20d = min(Portfolio_Value[t:t+20]) / max(Portfolio_Value[t:t+20]),Maximum Drawdown
Maximum Drawdown over 60-day period,MDD_60d = min(Portfolio_Value[t:t+60]) / max(Portfolio_Value[t:t+60]),Maximum Drawdown
Maximum Drawdown over 252-day period,MDD_252d = min(Portfolio_Value[t:t+252]) / max(Portfolio_Value[t:t+252]),Maximum Drawdown
Calmar Ratio - return per unit of drawdown,Calmar = Annual_Return / Max_Drawdown,Maximum Drawdown
Return over Maximum Drawdown (RoMaD),RoMaD = Cumulative_Return / Max_Drawdown,Maximum Drawdown
Time to recover 50% of drawdown,Recovery_Time_50 = First_Date(Portfolio_Value >= Peak * 0.5),Maximum Drawdown
Time to recover 75% of drawdown,Recovery_Time_75 = First_Date(Portfolio_Value >= Peak * 0.75),Maximum Drawdown
Time to recover 100% of drawdown,Recovery_Time_100 = First_Date(Portfolio_Value >= Peak * 1.0),Maximum Drawdown
Average Drawdown over period,Avg_DD = mean(|Drawdown_i|) for all i in period,Maximum Drawdown
Calculate Information Ratio for active management,IR = (R_p - R_bench) / TE,Information Ratio
Information Ratio vs S&P500 benchmark,IR_S&P500 = (R_p - R_S&P500) / σ(R_p - R_S&P500),Information Ratio
Information Ratio vs Russell2000 benchmark,IR_Russell2000 = (R_p - R_Russell2000) / σ(R_p - R_Russell2000),Information Ratio
Information Ratio vs MSCI_World benchmark,IR_MSCI_World = (R_p - R_MSCI_World) / σ(R_p - R_MSCI_World),Information Ratio
Information Ratio vs Custom benchmark,IR_Custom = (R_p - R_Custom) / σ(R_p - R_Custom),Information Ratio
Tracking Error - standard deviation of active returns,TE = σ(R_p - R_bench),Information Ratio
Ex-ante Information Ratio using factor model,IR_ex_ante = α / Residual_Volatility,Information Ratio
Annualized Information Ratio,IR_annual = IR_monthly * √12,Information Ratio
Calculate Treynor Ratio - return per unit of systematic risk,Treynor = (R_p - R_f) / β,Treynor Ratio
"Treynor Ratio with 1.0% RF rate, Low (β<1)",Treynor = (R_p - 0.01) / β,Treynor Ratio
"Treynor Ratio with 1.0% RF rate, Mid (1<β<1.5)",Treynor = (R_p - 0.01) / β,Treynor Ratio
"Treynor Ratio with 1.0% RF rate, High (β>1.5)",Treynor = (R_p - 0.01) / β,Treynor Ratio
"Treynor Ratio with 2.0% RF rate, Low (β<1)",Treynor = (R_p - 0.02) / β,Treynor Ratio
"Treynor Ratio with 2.0% RF rate, Mid (1<β<1.5)",Treynor = (R_p - 0.02) / β,Treynor Ratio
"Treynor Ratio with 2.0% RF rate, High (β>1.5)",Treynor = (R_p - 0.02) / β,Treynor Ratio
"Treynor Ratio with 5.0% RF rate, Low (β<1)",Treynor = (R_p - 0.05) / β,Treynor Ratio
"Treynor Ratio with 5.0% RF rate, Mid (1<β<1.5)",Treynor = (R_p - 0.05) / β,Treynor Ratio
"Treynor Ratio with 5.0% RF rate, High (β>1.5)",Treynor = (R_p - 0.05) / β,Treynor Ratio
Jensen's Alpha - excess return above CAPM prediction,α = R_p - [R_f + β(R_m - R_f)],Treynor Ratio
Capital Asset Pricing Model,E(R_i) = R_f + β_i(E(R_m) - R_f),CAPM
CAPM with 4.0% market risk premium,E(R_i) = R_f + β_i * 0.04,CAPM
CAPM with 5.0% market risk premium,E(R_i) = R_f + β_i * 0.05,CAPM
CAPM with 6.0% market risk premium,E(R_i) = R_f + β_i * 0.06,CAPM
CAPM with 8.0% market risk premium,E(R_i) = R_f + β_i * 0.08,CAPM
Build-up method for required return (Private Companies),E(R) = R_f + β * MRP + Size_Premium + Industry_Premium,CAPM
Three-Factor Fama-French Model,R_i - R_f = α + β_market(R_m - R_f) + β_size*SMB + β_value*HML + ε,CAPM
Five-Factor Fama-French Model,R_i - R_f = α + β_mkt*MKT + β_smb*SMB + β_hml*HML + β_rmw*RMW + β_cma*CMA,CAPM
Incremental VaR - VaR contribution of adding position,IVaR = VaR(Portfolio+Position) - VaR(Portfolio),Advanced VaR
Marginal VaR - sensitivity of portfolio VaR to position change,MVaR = ∂VaR/∂Position_i,Advanced VaR
Component VaR - allocation of total VaR to positions,CVaR_i = MVaR_i * Position_Value_i,Advanced VaR
Stand-alone VaR for individual position,SA_VaR_i = μ_i - z_α * σ_i * √t,Advanced VaR
Concentrated VaR - accounts for correlation breakdowns,Conc_VaR = VaR * Concentration_Factor,Advanced VaR
Liquidity-adjusted VaR with market depth,LVaR = VaR + Liquidity_Adjustment * σ,Advanced VaR
Stressed VaR using stressed market parameters,Stressed_VaR = μ_stressed - z * σ_stressed * √t,Advanced VaR
Incremental CVaR,I_CVaR = CVaR(Portfolio+Position) - CVaR(Portfolio),Advanced VaR
Scenario loss - portfolio value change under stress scenario,Scenario_Loss = Portfolio_Value_0 - Portfolio_Value_stress,Stress Testing
Parallel shift stress test - all rates shift equally,Stress_Parallel = Σ(Duration_i * Shift * Value_i),Stress Testing
Yield curve twist stress test,Stress_Twist = Σ(Duration_Slope_i * Twist * Value_i),Stress Testing
Butterfly shift in yield curve,Stress_Butterfly = Σ(Butterfly_Sensitivity_i * Shift * Value_i),Stress Testing
Correlation breakdown scenario,Stress_Correlation = Portfolio_Loss(ρ=correlation_stress),Stress Testing
Omega Ratio - probability-weighted returns vs threshold,"Omega(R_t) = E[max(R - R_t, 0)] / E[max(R_t - R, 0)]",Advanced Metrics
Kappa Ratio - excess return to below-target semi-deviation,"Kappa_3 = (R - R_t) / (E[(max(R_t - R, 0))³])^(1/3)",Advanced Metrics
Ulcer Index - average depth and duration of drawdowns,UI = √(Σ(D_i²)/n) where D_i = percentage drawdowns,Advanced Metrics
Martin Ratio - return to Ulcer Index,Martin = Annual_Return / Ulcer_Index,Advanced Metrics
Tail ratio - size of gains vs losses in tail,Tail_Ratio = E[R | R > percentile_95] / |E[R | R < percentile_5]|,Advanced Metrics
Skewness - asymmetry of return distribution,Skewness = E[(R - μ)³] / σ³,Advanced Metrics
Kurtosis - tail heaviness of return distribution,Kurtosis = E[(R - μ)⁴] / σ⁴ - 3,Advanced Metrics
Value at Risk for portfolio with options (delta-gamma approximation),VaR_approx = ΔS + 0.5*Γ*(ΔS)²,Advanced Metrics
Correlation coefficient between two assets,"ρ_xy = Cov(x,y) / (σ_x * σ_y)",Correlation
Covariance matrix for portfolio,Cov(R_p) = w^T * Σ * w,Correlation
Portfolio volatility with correlations,σ_p = √(Σ Σ w_i*w_j*σ_i*σ_j*ρ_ij),Correlation
